"Kerncijfers wijken en buurten 2016"
"Onderwerpen";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Regioaanduiding";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Bevolking";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Wonen";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Energie";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Inkomen";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Sociale zekerheid";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Bedrijfsvestigingen, SBI 2008";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Motorvoertuigen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Nabijheid voorzieningen";"Oppervlakte";"Oppervlakte";"Oppervlakte";"Postcode";"Postcode";"Stedelijkheid";"Stedelijkheid"
"Overtoomse Veld Zuid";"Amsterdam";"Buurt";"BU03638601";"3";"2835";"1390";"1440";"500";"505";"970";"565";"300";"1755";"800";"200";"90";"395";"1650";"830";"25";"180";"240";"375";".";".";".";".";"1390";"725";"285";"390";"2.0";"9456";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"31";"30";"1";".";".";"1";"4817"
"Rembrandtpark Noord";"Amsterdam";"Buurt";"BU03638602";"3";"1035";"500";"535";"45";"450";"385";"75";"80";"895";"85";"50";"15";"320";"145";"20";"10";"20";"5";"90";".";".";".";".";"820";"660";"130";"35";"1.3";"3717";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"30";"28";"3";".";".";"1";"6359"
"Rembrandtpark Zuid";"Amsterdam";"Buurt";"BU03638603";"3";"790";"420";"365";"50";"80";"470";"95";"95";"595";"145";"35";"20";"205";"105";"5";"10";"15";"0";"75";".";".";".";".";"515";"315";"160";"50";"1.5";"2889";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"32";"27";"4";".";".";"1";"5135"
"Johan Jongkindbuurt";"Amsterdam";"Buurt";"BU03638604";"3";"830";"375";"455";"190";"125";"195";"160";"165";"445";"225";"70";"95";"50";"600";"270";"5";"40";"185";"105";".";".";".";".";"290";"135";"30";"130";"2.6";"9656";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"9";"9";"0";".";".";"1";"5382"
"Lucas/Andreasziekenhuis e.o.";"Amsterdam";"Buurt";"BU03638605";"3";"645";"355";"290";"0";"500";"145";"5";"0";"645";"5";"0";"0";"430";"195";"0";"5";"0";"5";"185";".";".";".";".";"645";"650";"5";"0";"1.0";"3607";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"18";"18";"0";".";".";"1";"5428"
"Westlandgracht";"Amsterdam";"Wijk";"WK036387";"3";"7820";"4115";"3705";"1235";"850";"3550";"1485";"710";"5190";"1850";"620";"170";"1645";"2980";"1010";"95";"370";"520";"995";".";".";".";".";"4230";"2300";"985";"950";"1.8";"5535";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"150";"141";"8";".";".";"1";"5121"
"Koningin Wilhelminaplein";"Amsterdam";"Buurt";"BU03638700";"3";"2185";"1215";"970";"200";"175";"1255";"400";"165";"1535";"520";"120";"25";"645";"500";"50";"25";"50";"45";"335";".";".";".";".";"1330";"690";"470";"175";"1.6";"8920";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"26";"25";"2";".";".";"1";"5350"
"Andreasterrein";"Amsterdam";"Buurt";"BU03638701";"3";"1315";"635";"680";"330";"115";"515";"245";"115";"790";"415";"85";"35";"250";"445";"190";"10";"50";"85";"115";".";".";".";".";"545";"200";"125";"225";"2.4";"9134";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"18";"14";"3";".";".";"1";"6937"
"Delflandpleinbuurt Oost";"Amsterdam";"Buurt";"BU03638702";"3";"1450";"785";"665";"215";"245";"570";"315";"115";"1020";"265";"145";"35";"285";"715";"275";"20";"100";"130";"195";".";".";".";".";"775";"500";"115";"165";"1.7";"8494";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"18";"17";"1";".";".";"1";"5287"
"Delflandpleinbuurt West";"Amsterdam";"Buurt";"BU03638703";"3";"2835";"1455";"1380";"490";"315";"1190";"525";"315";"1835";"655";"280";"75";"465";"1315";"500";"40";"175";"265";"350";".";".";".";".";"1560";"900";"280";"385";"1.8";"8797";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"34";"32";"2";".";".";"1";"4307"
"Riekerhaven";"Amsterdam";"Buurt";"BU03638704";"3";"10";"10";"0";"0";"5";"10";"0";"0";"15";"0";"0";"0";"5";"5";"5";"0";"0";"0";"0";".";".";".";".";"10";"15";"0";"0";"1.0";"26";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"42";"42";"0";".";".";"1";"2631"
"Schipluidenbuurt";"Amsterdam";"Buurt";"BU03638705";"3";"10";"5";"0";"0";"5";"10";"0";"0";"15";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";".";".";".";".";"5";"5";"5";"0";"1.8";"97";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"12";"11";"0";".";".";"1";"5518"
"Sloter-/Riekerpolder";"Amsterdam";"Wijk";"WK036388";"3";"13965";"6860";"7105";"1985";"1970";"3260";"4845";"1910";"7145";"5265";"1080";"485";"2235";"3705";"840";"120";"965";"665";"1120";".";".";".";".";"6150";"2090";"1625";"2445";"2.3";"2992";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"594";"467";"127";".";".";"1";"2611"
"Riekerpolder";"Amsterdam";"Buurt";"BU03638800";"3";"90";"60";"30";"10";"5";"75";"5";"0";"70";"25";"0";"0";"25";"65";"5";"0";"0";"5";"55";".";".";".";".";"70";"60";"10";"10";"1.3";"153";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"65";"61";"3";".";".";"3";"1078"
"Park Haagseweg";"Amsterdam";"Buurt";"BU03638801";"3";"855";"425";"425";"110";"95";"180";"335";"145";"415";"370";"55";"20";"140";"150";"20";"10";"30";"20";"75";".";".";".";".";"405";"140";"130";"140";"2.1";"7537";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"12";"11";"1";".";".";"2";"2198"
"Nieuwe Meer";"Amsterdam";"Buurt";"BU03638802";"3";"175";"100";"70";"25";"20";"45";"85";"5";"140";"30";"15";"5";"50";"10";"0";"5";"5";"0";"5";".";".";".";".";"100";"70";"10";"30";"1.7";"135";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"227";"130";"97";".";".";"5";"245"
"Sloterweg e.o.";"Amsterdam";"Buurt";"BU03638803";"3";"255";"115";"135";"40";"40";"40";"95";"45";"115";"110";"20";"15";"25";"50";"0";"0";"15";"5";"30";".";".";".";".";"105";"35";"30";"45";"2.4";"323";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"86";"79";"7";".";".";"3";"1403"
"Nieuw Sloten Noordwest";"Amsterdam";"Buurt";"BU03638804";"3";"3195";"1540";"1650";"490";"520";"705";"1130";"355";"1640";"1195";"270";"100";"480";"1155";"380";"40";"280";"195";"265";".";".";".";".";"1285";"375";"295";"625";"2.5";"9240";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"37";"35";"3";".";".";"1";"3163"
"Nieuw Sloten Noordoost";"Amsterdam";"Buurt";"BU03638805";"3";"3120";"1535";"1580";"370";"425";"680";"1075";"585";"1430";"1290";"250";"165";"440";"800";"160";"30";"190";"200";"225";".";".";".";".";"1390";"460";"415";"520";"2.2";"7122";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"48";"44";"4";".";".";"1";"3186"
"Belgiëplein e.o.";"Amsterdam";"Buurt";"BU03638806";"3";"1060";"490";"565";"95";"80";"270";"295";"325";"455";"380";"130";"105";"240";"275";"50";"5";"75";"45";"105";".";".";".";".";"635";"340";"195";"105";"1.7";"12787";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"8";"8";"0";".";".";"1";"2570"
"Nieuw Sloten Zuidwest";"Amsterdam";"Buurt";"BU03638807";"3";"2380";"1165";"1215";"395";"405";"450";"970";"165";"1275";"955";"140";"20";"360";"580";"80";"20";"215";"90";"180";".";".";".";".";"890";"185";"225";"490";"2.7";"11054";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"23";"22";"2";".";".";"1";"2500"
"Nieuw Sloten Zuidoost";"Amsterdam";"Buurt";"BU03638808";"3";"2120";"1055";"1065";"355";"295";"700";"585";"190";"1275";"645";"170";"40";"400";"595";"155";"20";"155";"105";"170";".";".";".";".";"935";"335";"225";"380";"2.2";"9332";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"26";"23";"3";".";".";"2";"2198"
"Dorp Sloten";"Amsterdam";"Buurt";"BU03638809";"3";"700";"355";"345";"100";"95";"115";"285";"110";"345";"285";"55";"30";"80";"40";"5";"5";"10";"5";"20";".";".";".";".";"320";"105";"100";"125";"2.2";"1298";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"61";"54";"7";".";".";"2";"2315"
"Slotervaart Zuid";"Amsterdam";"Wijk";"WK036389";"3";"9645";"4685";"4960";"1740";"1610";"2970";"1855";"1475";"5645";"2705";"860";"445";"1295";"4995";"2355";"85";"660";"885";"1010";".";".";".";".";"4800";"2565";"880";"1365";"2.0";"7723";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"131";"125";"6";".";".";"1";"3664"
"Louis Crispijnbuurt";"Amsterdam";"Buurt";"BU03638900";"3";"2955";"1410";"1540";"495";"465";"805";"610";"585";"1640";"865";"265";"190";"410";"1470";"655";"20";"215";"285";"295";".";".";".";".";"1425";"735";"285";"415";"2.0";"8245";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"37";"36";"1";".";".";"1";"3503"
"Jacques Veldmanbuurt";"Amsterdam";"Buurt";"BU03638901";"3";"3110";"1530";"1580";"555";"330";"1140";"600";"490";"1735";"960";"295";"135";"540";"1445";"650";"20";"175";"265";"335";".";".";".";".";"1655";"880";"375";"410";"1.9";"10554";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"31";"29";"1";".";".";"1";"4125"
"Staalmanbuurt";"Amsterdam";"Buurt";"BU03638902";"3";"2825";"1370";"1455";"650";"390";"855";"595";"345";"1640";"835";"260";"100";"260";"1895";"985";"35";"245";"320";"315";".";".";".";".";"1125";"445";"175";"510";"2.5";"9257";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"32";"31";"2";".";".";"1";"3804"
"Medisch Centrum Slotervaart";"Amsterdam";"Buurt";"BU03638903";"3";"750";"365";"385";"40";"435";"175";"50";"55";"640";"50";"40";"30";"90";"185";"70";"10";"30";"20";"65";".";".";".";".";"585";"510";"55";"30";"1.2";"2586";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"30";"29";"1";".";".";"2";"2216"
"Buitenveldert-West";"Amsterdam";"Wijk";"WK036390";"3";"12690";"5865";"6825";"1520";"1310";"3825";"2790";"3250";"6650";"3850";"1230";"965";"3220";"2605";"230";"130";"445";"170";"1630";".";".";".";".";"7505";"4365";"1655";"1490";"1.7";"4458";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"355";"285";"71";".";".";"1";"3668"
"Gelderlandpleinbuurt";"Amsterdam";"Buurt";"BU03639000";"3";"4145";"1895";"2245";"405";"455";"1320";"860";"1110";"2175";"1260";"395";"330";"1085";"935";"115";"40";"160";"55";"570";".";".";".";".";"2555";"1505";"605";"460";"1.6";"9105";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"46";"46";"1";".";".";"1";"3907"
"Buitenveldert Midden Zuid";"Amsterdam";"Buurt";"BU03639002";"3";"3565";"1685";"1880";"495";"440";"1320";"745";"580";"2180";"960";"300";"135";"900";"910";"85";"55";"135";"60";"580";".";".";".";".";"2070";"1185";"435";"455";"1.7";"7097";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"54";"50";"4";".";".";"1";"4610"
"Buitenveldert Zuidwest";"Amsterdam";"Buurt";"BU03639003";"3";"3910";"1770";"2135";"495";"305";"980";"895";"1235";"1825";"1215";"455";"420";"910";"645";"30";"35";"130";"50";"405";".";".";".";".";"2295";"1395";"465";"445";"1.7";"5601";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"75";"70";"5";".";".";"1";"2892"
"Amsterdamse Bos";"Amsterdam";"Buurt";"BU03639004";"3";"70";"35";"30";"5";"10";"15";"30";"15";"40";"20";"10";"5";"15";"5";"0";"0";"0";"0";"5";".";".";".";".";"35";"20";"15";"10";"1.8";"92";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"132";"76";"56";".";".";"4";"794"
"Buitenveldert West Midden";"Amsterdam";"Buurt";"BU03639008";"3";"985";"460";"520";"125";"105";"190";"260";"315";"430";"400";"75";"85";"305";"110";"5";"5";"20";"10";"70";".";".";".";".";"530";"270";"140";"125";"1.8";"4062";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"27";"24";"3";".";".";"1";"2545"
"Zuiderhof";"Amsterdam";"Buurt";"BU03639009";"3";"5";"0";"5";"0";"0";"5";"5";"0";"10";"5";"5";"0";"5";"5";"0";"0";"0";"0";"5";".";".";".";".";"5";"10";"0";"5";"1.3";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"21";"19";"2";".";".";"3";"1276"
"Buitenveldert-Oost";"Amsterdam";"Wijk";"WK036391";"3";"7650";"3575";"4075";"780";"695";"2340";"1570";"2280";"3965";"2215";"775";"700";"1975";"1660";"155";"70";"260";"155";"1025";".";".";".";".";"4510";"2725";"1025";"765";"1.6";"4993";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"170";"153";"17";".";".";"1";"3336"
"De Klenckebuurt";"Amsterdam";"Buurt";"BU03639100";"3";"665";"285";"380";"55";"15";"185";"125";"290";"270";"230";"80";"95";"155";"110";"5";"5";"25";"15";"60";".";".";".";".";"340";"185";"120";"45";"1.6";"5061";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"14";"13";"1";".";".";"1";"3412"
"Buitenveldert Oost Midden";"Amsterdam";"Buurt";"BU03639101";"3";"3140";"1475";"1665";"300";"255";"895";"705";"995";"1580";"920";"375";"275";"675";"770";"70";"40";"150";"75";"435";".";".";".";".";"1960";"1145";"480";"345";"1.6";"10911";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"30";"29";"1";".";".";"1";"3201"
"Buitenveldert Zuidoost";"Amsterdam";"Buurt";"BU03639102";"3";"3830";"1805";"2025";"425";"425";"1255";"735";"995";"2110";"1070";"325";"335";"1145";"775";"80";"25";"85";"65";"525";".";".";".";".";"2200";"1400";"430";"375";"1.6";"6292";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"64";"61";"3";".";".";"1";"3450"
"Amstelpark";"Amsterdam";"Buurt";"BU03639103";"3";"10";"5";"0";"0";"5";"5";"5";"0";"10";"5";"5";"0";"0";"5";"0";"0";"0";"0";"5";".";".";".";".";"0";"5";"5";"5";"2.8";"22";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"62";"50";"12";".";".";"2";"1895"
"Amstel III/Bullewijk";"Amsterdam";"Wijk";"WK036392";"3";"430";"235";"190";"10";"220";"150";"45";"10";"375";"50";"10";"5";"110";"180";"15";"20";"40";"5";"100";".";".";".";".";"295";"275";"20";"10";"1.1";"87";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"527";"498";"29";".";".";"3";"1301"
"Hoofdcentrum Zuidoost";"Amsterdam";"Buurt";"BU03639200";"3";"15";"10";"5";"0";"5";"10";"5";"0";"15";"5";"0";"0";"20";"0";"0";"0";"0";"0";"0";".";".";".";".";"10";"10";"5";"0";"1.5";"53";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"34";"34";"0";".";".";"2";"1555"
"Amstel III deel A/B Noord";"Amsterdam";"Buurt";"BU03639201";"3";"90";"65";"25";"5";"10";"80";"5";"0";"75";"25";"0";"0";"40";"50";"0";"0";"0";"0";"50";".";".";".";".";"85";"80";"5";"5";"1.1";"121";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"80";"78";"2";".";".";"2";"1735"
"Amstel III deel C/D Noord";"Amsterdam";"Buurt";"BU03639202";"3";"20";"15";"5";"0";"10";"15";"5";"0";"20";"5";"0";"0";"15";"5";"0";"0";"0";"0";"5";".";".";".";".";"20";"20";"5";"5";"1.1";"25";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"99";"93";"6";".";".";"4";"609"
"Amstel III deel A/B Zuid";"Amsterdam";"Buurt";"BU03639203";"3";"150";"50";"100";"0";"140";"15";"5";"0";"155";"5";"0";"0";"20";"50";"5";"10";"15";"5";"20";".";".";".";".";"150";"150";"5";"0";"1.0";"435";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"38";"35";"3";".";".";"2";"1663"
"Amstel III deel C/D Zuid";"Amsterdam";"Buurt";"BU03639204";"3";"5";"0";"0";"0";"0";"5";"5";"0";"5";"0";"5";"5";"5";"0";"0";"0";"0";"0";"0";".";".";".";".";"0";"5";"5";"0";"1.3";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"36";"36";"0";".";".";"5";"310"
